"","rep","plate","sample","sampletype","full","totseq","OTUs"
"E28K4_P2r3","3","P2","E28K4","ExtractBlank","E28K4_P2r3",1,1
"E29K5_P2r1","1","P2","E29K5","ExtractBlank","E29K5_P2r1",0,0
"E29K5_P2r2","2","P2","E29K5","ExtractBlank","E29K5_P2r2",0,0
"E29K5_P2r3","3","P2","E29K5","ExtractBlank","E29K5_P2r3",0,0
"E30K6_P2r1","1","P2","E30K6","ExtractBlank","E30K6_P2r1",3,1
"E30K6_P2r2","2","P2","E30K6","ExtractBlank","E30K6_P2r2",1,1
"E31K7_P2r1","1","P2","E31K7","ExtractBlank","E31K7_P2r1",94,1
"E31K7_P2r2","2","P2","E31K7","ExtractBlank","E31K7_P2r2",1,1
"E31K7_P2r3","3","P2","E31K7","ExtractBlank","E31K7_P2r3",31,1
"E32K8_P2r1","1","P2","E32K8","ExtractBlank","E32K8_P2r1",1,1
"E32K8_P2r2","2","P2","E32K8","ExtractBlank","E32K8_P2r2",2,1
"E33K1_P2r1","1","P2","E33K1","ExtractBlank","E33K1_P2r1",29,2
"E33K1_P2r2","2","P2","E33K1","ExtractBlank","E33K1_P2r2",20,2
"E33K1_P2r3","3","P2","E33K1","ExtractBlank","E33K1_P2r3",1104,3
"E34K2_P2r1","1","P2","E34K2","ExtractBlank","E34K2_P2r1",4,1
"E34K2_P2r2","2","P2","E34K2","ExtractBlank","E34K2_P2r2",8,2
"E34K2_P2r3","3","P2","E34K2","ExtractBlank","E34K2_P2r3",26,2
"E35K3_P2r1","1","P2","E35K3","ExtractBlank","E35K3_P2r1",24,2
"E35K3_P2r2","2","P2","E35K3","ExtractBlank","E35K3_P2r2",34,2
"E35K3_P2r3","3","P2","E35K3","ExtractBlank","E35K3_P2r3",33,2
"E36K4_P2r1","1","P2","E36K4","ExtractBlank","E36K4_P2r1",7,1
"E36K4_P2r2","2","P2","E36K4","ExtractBlank","E36K4_P2r2",23,2
"E36K4_P2r3","3","P2","E36K4","ExtractBlank","E36K4_P2r3",34,2
"E37K5_P2r2","2","P2","E37K5","ExtractBlank","E37K5_P2r2",0,0
"E37K5_P2r3","3","P2","E37K5","ExtractBlank","E37K5_P2r3",0,0
"E38K6_P2r1","1","P2","E38K6","ExtractBlank","E38K6_P2r1",0,0
"E38K6_P2r2","2","P2","E38K6","ExtractBlank","E38K6_P2r2",0,0
"E38K6_P2r3","3","P2","E38K6","ExtractBlank","E38K6_P2r3",0,0
"E39K7_P2r1","1","P2","E39K7","ExtractBlank","E39K7_P2r1",1,1
"E39K7_P2r3","3","P2","E39K7","ExtractBlank","E39K7_P2r3",0,0
"E40K8_P2r1","1","P2","E40K8","ExtractBlank","E40K8_P2r1",35,1
"E40K8_P2r2","2","P2","E40K8","ExtractBlank","E40K8_P2r2",398,1
"E40K8_P2r3","3","P2","E40K8","ExtractBlank","E40K8_P2r3",9,1
"N5_P2r1","1","P2","N5","NTC","N5_P2r1",6,1
"N5_P2r3","3","P2","N5","NTC","N5_P2r3",0,0
"N6_P2r2","2","P2","N6","NTC","N6_P2r2",7,1
"N6_P2r3","3","P2","N6","NTC","N6_P2r3",12,1
"N7_P2r1","1","P2","N7","NTC","N7_P2r1",225,1
"N7_P2r3","3","P2","N7","NTC","N7_P2r3",32,1
"N8_P2r1","1","P2","N8","NTC","N8_P2r1",0,0
"N8_P2r2","2","P2","N8","NTC","N8_P2r2",1,1
"N8_P2r3","3","P2","N8","NTC","N8_P2r3",1,1
"N9_P2r2","2","P2","N9","NTC","N9_P2r2",908,1
"N9_P2r3","3","P2","N9","NTC","N9_P2r3",1,1
"P1010000_P2r1","1","P2","P1010000","Positive","P1010000_P2r1",64280,9
"P1010000_P2r2","2","P2","P1010000","Positive","P1010000_P2r2",63314,8
"P1010000_P2r3","3","P2","P1010000","Positive","P1010000_P2r3",65044,12
"P5100_P2r1","1","P2","P5100","Positive","P5100_P2r1",996,4
"P5100_P2r2","2","P2","P5100","Positive","P5100_P2r2",177876,9
"P5100_P2r3","3","P2","P5100","Positive","P5100_P2r3",310133,27
"P6100_P2r1","1","P2","P6100","Positive","P6100_P2r1",108456,9
"P6100_P2r2","2","P2","P6100","Positive","P6100_P2r2",99126,8
"P6100_P2r3","3","P2","P6100","Positive","P6100_P2r3",143416,15
"P7110000_P2r1","1","P2","P7110000","Positive","P7110000_P2r1",47350,7
"P7110000_P2r2","2","P2","P7110000","Positive","P7110000_P2r2",45793,4
"P7110000_P2r3","3","P2","P7110000","Positive","P7110000_P2r3",50185,11
"P810000_P2r1","1","P2","P810000","Positive","P810000_P2r1",29052,5
"P810000_P2r2","2","P2","P810000","Positive","P810000_P2r2",22424,7
"P810000_P2r3","3","P2","P810000","Positive","P810000_P2r3",21960,9
"P910000_P2r1","1","P2","P910000","Positive","P910000_P2r1",76344,7
"P910000_P2r2","2","P2","P910000","Positive","P910000_P2r2",73752,8
"P910000_P2r3","3","P2","P910000","Positive","P910000_P2r3",70315,11
"C1_P2r1","1","P2","C1","Sample","C1_P2r1",42313,22
"C1_P2r2","2","P2","C1","Sample","C1_P2r2",21117,14
"C1_P2r3","3","P2","C1","Sample","C1_P2r3",37989,19
"C11_P2r1","1","P2","C11","Sample","C11_P2r1",113253,21
"C11_P2r2","2","P2","C11","Sample","C11_P2r2",129118,22
"C11_P2r3","3","P2","C11","Sample","C11_P2r3",114338,24
"C121150_P2r1","1","P2","C121150","Sample","C121150_P2r1",33238,11
"C121150_P2r2","2","P2","C121150","Sample","C121150_P2r2",29159,10
"C121150_P2r3","3","P2","C121150","Sample","C121150_P2r3",102863,13
"C122_P2r1","1","P2","C122","Sample","C122_P2r1",47659,11
"C122_P2r2","2","P2","C122","Sample","C122_P2r2",65030,10
"C122_P2r3","3","P2","C122","Sample","C122_P2r3",80611,10
"C13_P2r1","1","P2","C13","Sample","C13_P2r1",841,4
"C13_P2r2","2","P2","C13","Sample","C13_P2r2",57730,11
"C13_P2r3","3","P2","C13","Sample","C13_P2r3",76755,11
"C14_P2r1","1","P2","C14","Sample","C14_P2r1",205557,28
"C14_P2r2","2","P2","C14","Sample","C14_P2r2",179191,29
"C14_P2r3","3","P2","C14","Sample","C14_P2r3",266913,33
"C17_P2r1","1","P2","C17","Sample","C17_P2r1",64281,20
"C17_P2r2","2","P2","C17","Sample","C17_P2r2",48742,24
"C17_P2r3","3","P2","C17","Sample","C17_P2r3",96357,26
"C19_P2r1","1","P2","C19","Sample","C19_P2r1",86907,18
"C19_P2r2","2","P2","C19","Sample","C19_P2r2",72065,20
"C19_P2r3","3","P2","C19","Sample","C19_P2r3",148886,24
"C21_P2r1","1","P2","C21","Sample","C21_P2r1",27490,19
"C21_P2r2","2","P2","C21","Sample","C21_P2r2",23502,17
"C21_P2r3","3","P2","C21","Sample","C21_P2r3",20290,21
"C23_P2r1","1","P2","C23","Sample","C23_P2r1",36839,13
"C23_P2r2","2","P2","C23","Sample","C23_P2r2",33759,15
"C23_P2r3","3","P2","C23","Sample","C23_P2r3",95505,21
"C24_P2r1","1","P2","C24","Sample","C24_P2r1",6,1
"C24_P2r2","2","P2","C24","Sample","C24_P2r2",17,1
"C24_P2r3","3","P2","C24","Sample","C24_P2r3",1507,6
"C26_P2r1","1","P2","C26","Sample","C26_P2r1",21284,13
"C26_P2r2","2","P2","C26","Sample","C26_P2r2",13342,10
"C26_P2r3","3","P2","C26","Sample","C26_P2r3",27212,14
"C27_P2r1","1","P2","C27","Sample","C27_P2r1",222963,30
"C27_P2r2","2","P2","C27","Sample","C27_P2r2",79159,19
"C27_P2r3","3","P2","C27","Sample","C27_P2r3",279150,31
"C28_P2r1","1","P2","C28","Sample","C28_P2r1",97025,24
"C28_P2r2","2","P2","C28","Sample","C28_P2r2",89612,26
"C28_P2r3","3","P2","C28","Sample","C28_P2r3",190602,28
"C29_P2r1","1","P2","C29","Sample","C29_P2r1",13904,9
"C29_P2r2","2","P2","C29","Sample","C29_P2r2",8863,7
"C29_P2r3","3","P2","C29","Sample","C29_P2r3",3887,8
"C31_P2r1","1","P2","C31","Sample","C31_P2r1",12401,3
"C31_P2r2","2","P2","C31","Sample","C31_P2r2",12442,6
"C31_P2r3","3","P2","C31","Sample","C31_P2r3",19492,5
"C33_P2r1","1","P2","C33","Sample","C33_P2r1",7066,5
"C33_P2r2","2","P2","C33","Sample","C33_P2r2",3499,5
"C33_P2r3","3","P2","C33","Sample","C33_P2r3",2058,5
"C38_P2r1","1","P2","C38","Sample","C38_P2r1",4773,6
"C38_P2r2","2","P2","C38","Sample","C38_P2r2",6436,7
"C38_P2r3","3","P2","C38","Sample","C38_P2r3",18888,7
"C4_P2r1","1","P2","C4","Sample","C4_P2r1",40144,13
"C4_P2r2","2","P2","C4","Sample","C4_P2r2",30001,12
"C4_P2r3","3","P2","C4","Sample","C4_P2r3",41703,14
"C8_P2r1","1","P2","C8","Sample","C8_P2r1",33700,15
"C8_P2r2","2","P2","C8","Sample","C8_P2r2",34975,19
"C8_P2r3","3","P2","C8","Sample","C8_P2r3",33880,18
"C81_P2r1","1","P2","C81","Sample","C81_P2r1",51449,12
"C81_P2r2","2","P2","C81","Sample","C81_P2r2",45515,12
"C81_P2r3","3","P2","C81","Sample","C81_P2r3",88349,16
"C9_P2r1","1","P2","C9","Sample","C9_P2r1",15143,10
"C9_P2r2","2","P2","C9","Sample","C9_P2r2",26174,15
"C9_P2r3","3","P2","C9","Sample","C9_P2r3",37648,18
"G1_P2r1","1","P2","G1","Sample","G1_P2r1",19416,15
"G1_P2r2","2","P2","G1","Sample","G1_P2r2",51227,20
"G1_P2r3","3","P2","G1","Sample","G1_P2r3",61317,17
"G3_P2r1","1","P2","G3","Sample","G3_P2r1",23777,10
"G3_P2r2","2","P2","G3","Sample","G3_P2r2",46347,12
"G3_P2r3","3","P2","G3","Sample","G3_P2r3",74880,17
"G5_P2r1","1","P2","G5","Sample","G5_P2r1",9581,18
"G5_P2r2","2","P2","G5","Sample","G5_P2r2",13250,17
"G5_P2r3","3","P2","G5","Sample","G5_P2r3",49435,26
"G51_P2r1","1","P2","G51","Sample","G51_P2r1",41686,14
"G51_P2r2","2","P2","G51","Sample","G51_P2r2",28484,20
"G51_P2r3","3","P2","G51","Sample","G51_P2r3",27836,13
"G52_P2r1","1","P2","G52","Sample","G52_P2r1",19218,11
"G52_P2r2","2","P2","G52","Sample","G52_P2r2",9203,8
"G52_P2r3","3","P2","G52","Sample","G52_P2r3",20245,9
"G6_P2r1","1","P2","G6","Sample","G6_P2r1",202868,17
"G6_P2r2","2","P2","G6","Sample","G6_P2r2",139968,14
"G6_P2r3","3","P2","G6","Sample","G6_P2r3",229783,18
"G7_P2r1","1","P2","G7","Sample","G7_P2r1",25759,7
"G7_P2r2","2","P2","G7","Sample","G7_P2r2",25057,7
"G7_P2r3","3","P2","G7","Sample","G7_P2r3",14012,6
"ID1m_P2r1","1","P2","ID1m","Sample","ID1m_P2r1",45473,22
"ID1m_P2r2","2","P2","ID1m","Sample","ID1m_P2r2",23081,17
"ID1m_P2r3","3","P2","ID1m","Sample","ID1m_P2r3",103459,27
"ID1P2_P2r1","1","P2","ID1P2","Sample","ID1P2_P2r1",23056,10
"ID1P2_P2r2","2","P2","ID1P2","Sample","ID1P2_P2r2",22305,9
"ID1P2_P2r3","3","P2","ID1P2","Sample","ID1P2_P2r3",116521,23
"ID1P4_P2r1","1","P2","ID1P4","Sample","ID1P4_P2r1",7229,6
"ID1P4_P2r2","2","P2","ID1P4","Sample","ID1P4_P2r2",1027,3
"ID1P4_P2r3","3","P2","ID1P4","Sample","ID1P4_P2r3",139124,9
"ID1P6_P2r1","1","P2","ID1P6","Sample","ID1P6_P2r1",23057,16
"ID1P6_P2r2","2","P2","ID1P6","Sample","ID1P6_P2r2",13917,13
"ID1P6_P2r3","3","P2","ID1P6","Sample","ID1P6_P2r3",84592,22
"IeS1A2_P2r1","1","P2","IeS1A2","Sample","IeS1A2_P2r1",85549,30
"IeS1A2_P2r2","2","P2","IeS1A2","Sample","IeS1A2_P2r2",78910,28
"IeS1A2_P2r3","3","P2","IeS1A2","Sample","IeS1A2_P2r3",118379,29
"IeS1S1_P2r1","1","P2","IeS1S1","Sample","IeS1S1_P2r1",33554,29
"IeS1S1_P2r2","2","P2","IeS1S1","Sample","IeS1S1_P2r2",26044,31
"IeS1S1_P2r3","3","P2","IeS1S1","Sample","IeS1S1_P2r3",58011,40
"IeS1S2_P2r1","1","P2","IeS1S2","Sample","IeS1S2_P2r1",68187,37
"IeS1S2_P2r2","2","P2","IeS1S2","Sample","IeS1S2_P2r2",32354,32
"IeS1S2_P2r3","3","P2","IeS1S2","Sample","IeS1S2_P2r3",97662,43
"IeS1S3_P2r1","1","P2","IeS1S3","Sample","IeS1S3_P2r1",54229,30
"IeS1S3_P2r2","2","P2","IeS1S3","Sample","IeS1S3_P2r2",44275,35
"IeS1S3_P2r3","3","P2","IeS1S3","Sample","IeS1S3_P2r3",98973,39
"IeS2A3_P2r1","1","P2","IeS2A3","Sample","IeS2A3_P2r1",79078,17
"IeS2A3_P2r2","2","P2","IeS2A3","Sample","IeS2A3_P2r2",37063,8
"IeS2A3_P2r3","3","P2","IeS2A3","Sample","IeS2A3_P2r3",78447,9
"IeS2A3150_P2r1","1","P2","IeS2A3150","Sample","IeS2A3150_P2r1",18462,11
"IeS2A3150_P2r2","2","P2","IeS2A3150","Sample","IeS2A3150_P2r2",9672,8
"IeS2A3150_P2r3","3","P2","IeS2A3150","Sample","IeS2A3150_P2r3",6028,9
"IeS2I1_P2r1","1","P2","IeS2I1","Sample","IeS2I1_P2r1",41365,21
"IeS2I1_P2r2","2","P2","IeS2I1","Sample","IeS2I1_P2r2",51411,21
"IeS2I1_P2r3","3","P2","IeS2I1","Sample","IeS2I1_P2r3",109277,28
"IeS2I2_P2r1","1","P2","IeS2I2","Sample","IeS2I2_P2r1",1266,5
"IeS2I2_P2r2","2","P2","IeS2I2","Sample","IeS2I2_P2r2",42165,17
"IeS2I2_P2r3","3","P2","IeS2I2","Sample","IeS2I2_P2r3",341618,30
"IeS2S2_P2r1","1","P2","IeS2S2","Sample","IeS2S2_P2r1",63782,14
"IeS2S2_P2r2","2","P2","IeS2S2","Sample","IeS2S2_P2r2",30914,12
"IeS2S2_P2r3","3","P2","IeS2S2","Sample","IeS2S2_P2r3",112910,15
"IeS2S3_P2r1","1","P2","IeS2S3","Sample","IeS2S3_P2r1",141499,20
"IeS2S3_P2r2","2","P2","IeS2S3","Sample","IeS2S3_P2r2",21887,13
"IeS2S3_P2r3","3","P2","IeS2S3","Sample","IeS2S3_P2r3",164370,24
"B13_P2r1","1","P2","B13","Tagcatch","B13_P2r1",4,1
"B13_P2r2","2","P2","B13","Tagcatch","B13_P2r2",2,1
"B13_P2r3","3","P2","B13","Tagcatch","B13_P2r3",0,0
"B14_P2r1","1","P2","B14","Tagcatch","B14_P2r1",17,1
"B14_P2r2","2","P2","B14","Tagcatch","B14_P2r2",0,0
"B14_P2r3","3","P2","B14","Tagcatch","B14_P2r3",15,1
"B15_P2r1","1","P2","B15","Tagcatch","B15_P2r1",2,1
"B15_P2r2","2","P2","B15","Tagcatch","B15_P2r2",2,1
"B15_P2r3","3","P2","B15","Tagcatch","B15_P2r3",1,1
"B16_P2r1","1","P2","B16","Tagcatch","B16_P2r1",3,1
"B16_P2r2","2","P2","B16","Tagcatch","B16_P2r2",1,1
"B16_P2r3","3","P2","B16","Tagcatch","B16_P2r3",6,1
"B17_P2r1","1","P2","B17","Tagcatch","B17_P2r1",0,0
"B17_P2r2","2","P2","B17","Tagcatch","B17_P2r2",0,0
"B17_P2r3","3","P2","B17","Tagcatch","B17_P2r3",0,0
"B18_P2r1","1","P2","B18","Tagcatch","B18_P2r1",0,0
"B18_P2r2","2","P2","B18","Tagcatch","B18_P2r2",0,0
"B18_P2r3","3","P2","B18","Tagcatch","B18_P2r3",10,1
"B19_P2r2","2","P2","B19","Tagcatch","B19_P2r2",0,0
"B19_P2r3","3","P2","B19","Tagcatch","B19_P2r3",3,1
"B20_P2r1","1","P2","B20","Tagcatch","B20_P2r1",49,4
"B20_P2r2","2","P2","B20","Tagcatch","B20_P2r2",33,3
"B20_P2r3","3","P2","B20","Tagcatch","B20_P2r3",47,1
"B22_P2r1","1","P2","B22","Tagcatch","B22_P2r1",23,3
"B22_P2r2","2","P2","B22","Tagcatch","B22_P2r2",21,3
"B22_P2r3","3","P2","B22","Tagcatch","B22_P2r3",32,3
"B23_P2r1","1","P2","B23","Tagcatch","B23_P2r1",75,5
"B23_P2r2","2","P2","B23","Tagcatch","B23_P2r2",70,5
"B23_P2r3","3","P2","B23","Tagcatch","B23_P2r3",61,5
"B24_P2r2","2","P2","B24","Tagcatch","B24_P2r2",1,1
"BLANKE7_P2r1","1","P2","BLANKE7","Blankwell","BLANKE7_P2r1",0,0
"BLANKE7_P2r3","3","P2","BLANKE7","Blankwell","BLANKE7_P2r3",0,0
"BLANKF7_P2r2","2","P2","BLANKF7","Blankwell","BLANKF7_P2r2",7,1
"BLANKF7_P2r3","3","P2","BLANKF7","Blankwell","BLANKF7_P2r3",3,1
"BLANKP2E10_P2r1","1","P2","BLANKP2E10","Blankwell","BLANKP2E10_P2r1",1,1
"BLANKP2E10_P2r2","2","P2","BLANKP2E10","Blankwell","BLANKP2E10_P2r2",2,1
"BLANKP2G10_P2r1","1","P2","BLANKP2G10","Blankwell","BLANKP2G10_P2r1",10,1
"BLANKP2G10_P2r2","2","P2","BLANKP2G10","Blankwell","BLANKP2G10_P2r2",2,1
"BLANKP2G10_P2r3","3","P2","BLANKP2G10","Blankwell","BLANKP2G10_P2r3",0,0
"BLANKP2G7_P2r1","1","P2","BLANKP2G7","Blankwell","BLANKP2G7_P2r1",0,0
"BLANKP2G7_P2r2","2","P2","BLANKP2G7","Blankwell","BLANKP2G7_P2r2",1,1
"BLANKP2G7_P2r3","3","P2","BLANKP2G7","Blankwell","BLANKP2G7_P2r3",5,1
"BLANKP2H7_P2r1","1","P2","BLANKP2H7","Blankwell","BLANKP2H7_P2r1",3,1
"BLANKP2H7_P2r2","2","P2","BLANKP2H7","Blankwell","BLANKP2H7_P2r2",1,1
"BLANKP2H7_P2r3","3","P2","BLANKP2H7","Blankwell","BLANKP2H7_P2r3",6,2
